"GSS.Code","Borough","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"E09000001","City of London",6650,6654,6834,6912,6576,6483,6390,6183,6142,5911,5361,5167,5309,5425,5489,5551,5670,5720,6581,7014,7359,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,7204,6848,6872,7160
"E09000002","Barking and Dagenham",161294,160779,159545,158764,157863,157347,156837,156555,156376,156509,155487,156175,156191,156757,157396,157264,158302,160976,162444,163893,165654,166357,166210,165610,166275,167157,169031,172452,177580,182838,187029,190948.535567,194740.535567,198682.535567,202367.535567
"E09000003","Barnet",295206,293179,291198,293353,294678,296410,295751,289524,297026,295542,297676,296900,296553,297330,298968,302952,304634,308345,313469,315784,319481,320552,321802,323723,327541,330801,334837,339212,345829,351438,357538,364070.573713,369202.573713,375029.573713,379805.573713
"E09000004","Bexley",217424,217583,217431,217483,217274,218393,218342,217698,216903,216776,218075,218089,218315,218591,218543,217689,215722,216318,217458,218717,218757,219123,220016,220917,222391,223280,224625,226652,228146,230711,232774,234499.395245,236915.395245,240093.395245,242370.395245
"E09000005","Brent",248253,247300,246692,246912,246348,246440,246613,246383,243298,243866,240813,240284,241689,245704,248359,251967,255298,259908,260317,264945,269620,269871,268323,268335,270939,276504,283273,290901,298118,304785,312245,315498.873751,318102.873751,321600.873751,324850.873751
"E09000006","Bromley",299240,298217,299234,297812,296892,295373,295796,295204,295768,296055,293491,291936,289908,289977,290022,291728,293106,291697,294902,295317,296218,296668,297253,297307,299421,300963,302625,304968,306924,308560,310554,314591.716125,318454.716125,321833.716125,325412.716125
"E09000007","Camden",179094,175580,174723,175966,178489,180941,181872,178981,179331,180794,180708,179118,179270,180027,182454,186251,186183,183911,190003,196174,202567,203972,204254,207341,211088,211032,211520,210273,212924,214725,220087,224961,229718,234845,241058
"E09000008","Croydon",320720,321086,319513,317371,317157,316984,316314,313856,313699,315741,315868,317156,319216,322775,326822,329414,330923,333046,332066,334241,335112,335415,335919,337134,339052,340449,344029,349308,352763,357951,364815,368886,372752,376040,379031
"E09000009","Ealing",285285,283857,284582,288051,290536,292384,292289,291310,286695,285666,283782,284936,285801,286383,288486,292811,293995,296274,302252,304370,307276,309242,308108,310073,312774,315329,318671,324022,329966,334073,339314,341022.215009,342845.215009,342469.215009,343410.215009
"E09000010","Enfield",260936,261208,261682,261398,262554,262372,257700,256507,257080,258936,260133,260632,260769,260027,262787,265033,268379,268886,272731,275068,277266,280745,281835,282217,284779,287429,291534,297443,301971,307648,313935,317363.366764,320600.366764,324650.366764,328509.366764
"E09000011","Greenwich",214075,214293,213757,213334,213179,214377,212618,210138,208735,211015,210865,211922,211340,210197,209254,209839,211249,212322,212168,214438,217460,221476,224303,227190,230494,233990,236535,239748,243672,249171,255483,260068,264008,268678,274803
"E09000012","Hackney",185195,182981,185519,186109,185184,184118,183796,184600,187047,186955,184956,186816,188193,190266,192858,193068,191448,194706,199087,203381,207246,210961,212405,213581,216512,220193,224480,231041,236622,241739,247182,252514.50685,257774.50685,263545.50685,269404.50685
"E09000013","Hammersmith and Fulham",150208,148941,150144,150943,151588,151775,152349,151166,150392,151663,153794,153282,152504,153762,153482,154951,155105,155458,160634,164393,169374,171989,171510,172083,173292,174675,176472,177088,180116,180842,182445,180194.965555,179029.965555,178709.965555,179753.965555
"E09000014","Haringey",206914,205297,206457,202891,201183,201163,199819,199567,198589,203162,207034,205769,206461,207447,208881,211578,215081,216582,218559,219845,221251,224474,225027,226472,229271,233174,236793,244459,249805,252742,255540,259810.2077,264284.2077,268439.2077,273762.2077
"E09000015","Harrow",199936,200412,201816,204600,205618,206604,205450,203347,200907,200701,203013,203710,206284,207373,206968,207186,206933,206662,207909,209114,210044,212336,213728,216267,221109,223632,226355,229567,233495,237451,240499,242940.585346,243936.585346,246574.585346,247693.585346
"E09000016","Havering",241956,242038,240201,239700,238545,238287,237599,235951,233081,232505,230923,229111,229385,228696,227567,227115,226039,223641,225712,225141,224717,225054,225248,225769,226990,228198,229789,231793,234127,236234,237927,240086.545335,242433.545335,246327.545335,249438.545335
"E09000017","Hillingdon",233610,233203,234459,232447,232619,232253,231393,232104,235407,236047,234384,234457,235675,238708,240146,241958,242901,243587,245053,245911,245616,247063,248054,248691,251430,254387,256981,261051,265665,269465,275499,282390.847571,287442.847571,293324.847571,298369.847571
"E09000018","Hounslow",200954,202243,199389,197069,195568,195630,195447,192935,198861,201542,203917,201987,201992,201756,203691,206034,210146,212445,214298,214731,215976,216888,216498,219440,223776,228126,233454,237907,243366,249236,254927,259459.291152,262814.291152,265975.291152,269177.291152
"E09000019","Islington",165377,161787,161175,163244,165558,165143,165276,165314,165055,168861,171754,172658,172914,173368,173016,174651,175665,177949,175717,177852,179387,180118,180899,180831,183477,185283,188636,192089,196704,200129,206285,211400.287827,216024.287827,221383.287827,228045.287827
"E09000020","Kensington and Chelsea",141199,139294,137549,140567,143383,144415,141060,134691,140701,142490,143626,142237,141532,139997,140603,141099,142096,143140,147678,154661,162199,163827,165268,165752,168375,165245,162883,162579,161893,160463,158251,156330.9622044,155994.9622044,156590.9622044,158111.9622044
"E09000021","Kingston upon Thames",134410,133326,133066,133152,132538,132074,130060,131954,133119,135651,136062,136139,136095,136420,137785,139225,141330,143765,146003,147328,149045,149642,149683,151055,152489,153667,154485,156027,157307,158648,160436,163938.559478,166825.559478,169990.559478,173557.559478
"E09000022","Lambeth",251651,247959,246519,247389,248301,251317,250997,248920,249323,245509,254990,255614,254615,256622,257197,259743,259854,263843,266817,270028,273372,273041,272195,274262,277620,280524,284964,289126,294050,297650,304481,310526.979125,314568.979125,318542.979125,324757.979125
"E09000023","Lewisham",237544,235794,235066,236485,237886,238521,239147,237603,236596,237718,240233,239738,240409,241983,240428,243090,243946,247223,250310,252106,254336,253662,251936,252455,254930,257976,261188,266508,270418,272525,276938,282142.66762,286766.66762,292519.66762,297911.66762
"E09000024","Merton",167623,167244,166424,165664,166722,167577,167182,167757,168294,169949,170924,171672,173711,175754,177695,180623,181675,182355,185062,188196,191106,190561,189298,188908,190583,192520,194260,195859,198136,199136,200543,202907.94327,203905.94327,204197.94327,205247.94327
"E09000025","Newham",211888,211459,209828,209241,208908,205951,207708,208675,209525,212253,216251,219204,222283,224919,227993,229900,231032,235001,240517,245463,249411,255282,256224,254434,253798,257994,266285,276478,286447,299171,310460,315536.016151,319679.016151,325774.016151,334269.016151
"E09000026","Redbridge",221759,219586,218059,217014,217879,217140,218537,218629,219407,221736,221999,223487,224747,226684,228714,232804,234974,235997,238138,239868,241893,244273,247412,248774,251560,255590,259965,265452,270435,275088,281395,284743.443939,288398.443939,293181.443939,296919.443939
"E09000027","Richmond upon Thames",164760,162790,162869,162026,162400,162346,162725,159897,162236,165212,166629,165137,164561,165028,166648,168659,170044,169945,172782,172920,174311,175441,177182,179312,181508,182520,182421,182927,184394,186304,187527,189145,191365,193585,194730
"E09000028","Southwark",218836,215253,216407,216830,217443,217792,218596,218970,222021,228287,227246,228414,231361,231606,236885,236620,238968,242150,247853,252726,256712,256269,255242,257257,261811,267553,272626,276973,281120,283777,288717,294173.516073,299108.516073,303181.516073,309544.516073
"E09000029","Sutton",170232,170499,170274,170308,170606,169844,169872,169702,170726,170269,170093,171023,172600,172918,174230,175731,177026,177868,179375,180485,181461,181265,181267,181094,182103,182882,184174,185860,188167,189321,191123,194022.403412,196306.403412,198526.403412,200537.403412
"E09000030","Tower Hamlets",144719,143500,142492,142736,144784,150165,156036,158666,160668,164029,166326,167265,169046,171533,175209,180292,184845,187909,193507,197133,201090,207031,208651,211154,213382,218400,225251,231893,240495,248520,256012,263675.525738,273562.525738,284687.525738,295908.525738
"E09000031","Waltham Forest",217224,215405,214932,214881,216121,215769,214409,213136,211700,213713,215893,216582,217965,220094,220424,220017,219795,222251,221057,221296,222015,223776,224115,225002,226747,230731,235665,242098,248140,254009,259742,263221.018347,266452.018347,268675.018347,271825.018347
"E09000032","Wandsworth",262438,259722,260075,260659,261747,260476,261755,261060,260547,261015,261976,261817,260918,261324,259903,261066,260633,260965,264220,267695,271742,274917,276828,278615,283229,287538,291440,294305,299347,302620,307710,308902.047901,311106.047901,312735.047901,315134.047901
"E09000033","Westminster",188390,186615,185078,183406,180870,178338,175822,172353,176307,182708,185032,180974,176879,174076,174220,178498,181841,184652,189233,196478,203329,208100,211009,214557,223132,222829,220619,218673,216980,217187,219582,223858,226841,233292,242299
"E12000007","London",6805000,6765084,6752989,6754717,6766997,6774202,6765557,6729336,6751562,6798786,6829314,6829408,6844491,6873527,6913123,6974407,7014838,7065497,7153912,7236712,7322403,7376671,7394817,7432730,7519009,7597825,7693473,7812161,7942594,8061495,8204407,8321034.9967684,8428808.9967684,8550554.9967684,8685177.9967684
